CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
05,Antioquia,05001,Medellín
05,Antioquia,05002,Abejorral
05,Antioquia,05004,Abriaquí
05,Antioquia,05021,Alejandría
05,Antioquia,00503,Amagá
05,Antioquia,05031,Amalfi
05,Antioquia,05034,Andes
05,Antioquia,05036,Angelópolis
05,Antioquia,05038,Angostura
05,Antioquia,00504,Anorí
15,Boyacá,15832,Tununguá
05,Antioquia,05044,Anza
05,Antioquia,05045,Apartadó
05,Antioquia,05051,Arboletes
05,Antioquia,05055,Argelia
05,Antioquia,05059,Armenia
05,Antioquia,05079,Barbosa
05,Antioquia,05088,Bello
05,Antioquia,05091,Betania
05,Antioquia,05093,Betulia
05,Antioquia,05101,Ciudad Bolívar
05,Antioquia,05107,Briceño
05,Antioquia,05113,Buriticá
05,Antioquia,00512,Cáceres
05,Antioquia,05125,Caicedo
05,Antioquia,05129,Caldas
05,Antioquia,05134,Campamento
05,Antioquia,05138,Cañasgordas
05,Antioquia,05142,Caracolí
05,Antioquia,05145,Caramanta
05,Antioquia,05147,Carepa
15,Boyacá,15476,Motavita
05,Antioquia,00515,Carolina
05,Antioquia,05154,Caucasia
05,Antioquia,05172,Chigorodó
05,Antioquia,00519,Cisneros
05,Antioquia,05197,Cocorná
05,Antioquia,05206,Concepción
05,Antioquia,05209,Concordia
05,Antioquia,05212,Copacabana
05,Antioquia,05234,Dabeiba
05,Antioquia,05237,Don Matías
05,Antioquia,00524,Ebéjico
05,Antioquia,00525,El Bagre
05,Antioquia,05264,Entrerrios
05,Antioquia,05266,Envigado
05,Antioquia,05282,Fredonia
23,Córdoba,23675,San Bernardo del Viento
05,Antioquia,05306,Giraldo
05,Antioquia,05308,Girardota
05,Antioquia,00531,Gómez Plata
27,Chocó,27361,Istmina
05,Antioquia,05315,Guadalupe
05,Antioquia,05318,Guarne
05,Antioquia,05321,Guatapé
05,Antioquia,05347,Heliconia
05,Antioquia,05353,Hispania
05,Antioquia,00536,Itagui
05,Antioquia,05361,Ituango
05,Antioquia,05086,Belmira
05,Antioquia,05368,Jericó
05,Antioquia,05376,La Ceja
05,Antioquia,00538,La Estrella
05,Antioquia,00539,La Pintada
05,Antioquia,00054,La Unión
05,Antioquia,05411,Liborina
05,Antioquia,05425,Maceo
05,Antioquia,00544,Marinilla
05,Antioquia,05467,Montebello
05,Antioquia,05475,Murindó
05,Antioquia,00548,Mutatá
05,Antioquia,05483,Nariño
05,Antioquia,00549,Necoclí
05,Antioquia,05495,Nechí
05,Antioquia,05501,Olaya
05,Antioquia,05541,Peñol
05,Antioquia,05543,Peque
05,Antioquia,05576,Pueblorrico
